渠道名称,日期,投放费用,展示量,点击量,转化量,次日留存率,7日留存率,转化ROI(%)
信息流广告,2025-02-17,3598.25,24836,341,2,0.3157,0.2169,0.06
短视频平台,2024-12-24,2994.59,21999,1026,6,0.5344,0.3482,0.2
信息流广告,2024-12-26,3666.46,29867,885,10,0.344,0.1839,0.27
社交媒体,2025-02-16,4771.16,44616,473,8,0.4025,0.2416,0.17
电商平台,2025-02-10,817.56,7844,262,12,0.3561,0.219,1.47
电商平台,2025-01-24,4150.42,45208,1935,76,0.4636,0.251,1.83
搜索引擎,2025-01-11,582.0,6147,346,3,0.2877,0.1925,0.52
信息流广告,2024-12-13,4448.62,51718,1100,8,0.413,0.2685,0.18
应用商店,2025-01-21,2174.08,18831,889,15,0.4662,0.2731,0.69
行业论坛,2025-01-27,4561.49,57524,6182,39,0.3521,0.2035,0.85
搜索引擎,2024-12-10,3545.46,25936,345,7,0.0136,0.0084,0.2
搜索引擎,2025-01-04,4062.11,34941,1117,37,0.3491,0.2365,0.91
信息流广告,2024-12-12,3596.14,36609,1593,18,0.3583,0.1951,0.5
邮件营销,2024-12-22,866.07,6152,261,5,0.2093,0.1459,0.58
社交媒体,2025-01-26,2667.5,34561,689,6,0.2621,0.1538,0.22
社交媒体,2024-12-30,3834.38,43309,1722,26,0.4036,0.221,0.68
社交媒体,2025-02-01,4408.7,46062,596,7,0.3513,0.2437,0.16
电商平台,2025-02-12,1825.22,23497,1095,53,0.2798,0.1432,2.9
信息流广告,2025-02-18,1263.56,9579,183,1,0.5089,0.2911,0.08
社交媒体,2024-12-25,2912.43,34660,1295,9,0.2923,0.1994,0.31
KOL合作,2024-12-19,3260.37,37169,1659,9,0.3368,0.1702,0.28
垂直媒体,2025-01-08,2195.33,19249,1993,16,0.4936,0.2531,0.73
信息流广告,2024-12-07,2904.56,30901,1032,16,0.3693,0.2406,0.55
搜索引擎,2024-12-15,1081.22,11072,211,8,0.4014,0.2504,0.74
信息流广告,2025-01-31,2741.74,34411,767,13,0.3408,0.2364,0.47
垂直媒体,2025-02-09,1103.07,14315,265,1,0.4378,0.2202,0.09
短视频平台,2025-01-27,2996.67,31472,1003,11,0.3046,0.2078,0.37
短视频平台,2024-12-07,4772.84,31468,892,17,0.3444,0.2062,0.36
电商平台,2024-12-13,841.38,6560,156,7,0.3988,0.2372,0.83
信息流广告,2025-01-06,683.91,6113,104,0,0.2707,0.1419,0.0
搜索引擎,2025-01-23,1079.37,8163,111,3,0.234,0.1492,0.28
信息流广告,2025-01-09,774.85,9067,362,2,0.288,0.156,0.26
社交媒体,2024-11-28,3919.8,53158,664,4,0.3752,0.1976,0.1
垂直媒体,2025-02-08,2513.36,17058,354,3,0.3703,0.1867,0.12
搜索引擎,2024-11-28,2909.01,25002,724,22,0.2307,0.1453,0.76
短视频平台,2024-12-02,3140.79,28640,432,3,0.5082,0.291,0.1
短视频平台,2025-01-01,2742.11,30144,310,2,0.3306,0.1894,0.07
邮件营销,2024-12-26,1782.93,18002,475,9,0.2669,0.1394,0.5
应用商店,2025-02-22,523.85,5229,203,3,0.3951,0.2543,0.57
社交媒体,2025-01-12,3962.72,35152,949,11,0.2498,0.137,0.28
电商平台,2024-12-24,892.81,10292,234,8,0.3511,0.2015,0.9
短视频平台,2025-02-16,4954.82,59520,1201,18,0.2923,0.1906,0.36
社交媒体,2025-01-22,2069.91,21401,369,2,0.3589,0.2327,0.1
垂直媒体,2024-12-16,4225.73,48704,2094,16,0.4138,0.2264,0.38
KOL合作,2024-11-29,4447.4,55158,1520,16,0.3092,0.1832,0.36
行业论坛,2025-02-11,3098.69,23484,734,4,0.1887,0.103,0.13
社交媒体,2024-12-21,3324.69,27429,1145,16,0.31,0.1881,0.48
垂直媒体,2025-01-19,3885.81,46397,729,5,0.4221,0.2713,0.13
行业论坛,2025-01-19,2914.17,24598,840,10,0.1303,0.0792,0.34
社交媒体,2025-01-12,3740.16,47768,1514,13,0.4509,0.2566,0.35
KOL合作,2025-01-19,1523.08,10114,349,6,0.2895,0.1528,0.39
搜索引擎,2024-12-28,3168.33,39318,982,21,0.4172,0.2151,0.66
垂直媒体,2025-02-15,2528.78,38127,989,5,0.4024,0.2282,0.2
信息流广告,2025-01-16,1014.2,12275,575,6,0.3253,0.1939,0.59
短视频平台,2024-12-29,2535.98,24113,721,8,0.3227,0.2204,0.32
短视频平台,2025-02-04,1490.44,15138,742,8,0.2015,0.1232,0.54
短视频平台,2025-01-08,1848.18,15262,413,7,0.1888,0.1076,0.38
电商平台,2025-01-27,4264.54,28566,1101,39,0.4201,0.255,0.91
社交媒体,2025-01-06,1198.58,12680,606,6,0.3245,0.1798,0.5
社交媒体,2024-12-01,4905.19,61042,1230,9,0.1326,0.0797,0.18
搜索引擎,2024-12-21,4493.57,60363,2548,126,0.3941,0.2446,2.8
应用商店,2025-01-20,1134.87,7505,101,1,0.2599,0.1682,0.09
信息流广告,2025-02-07,3123.69,37009,1580,16,0.3315,0.183,0.51
短视频平台,2025-02-14,4237.95,52425,1284,23,0.283,0.1539,0.54
行业论坛,2024-12-07,4408.11,52648,2210,25,0.3469,0.175,0.57
短视频平台,2025-02-01,1660.49,17172,847,10,0.3316,0.1772,0.6
信息流广告,2025-02-08,2883.48,28787,365,4,0.4859,0.2913,0.14
信息流广告,2024-12-02,1115.99,14776,540,4,0.507,0.3463,0.36
社交媒体,2025-01-11,711.35,7849,104,1,0.2774,0.1523,0.14
搜索引擎,2025-01-21,3735.71,41645,1209,48,0.1746,0.12,1.28
搜索引擎,2025-01-21,2929.29,30954,1357,66,0.3219,0.1709,2.25
社交媒体,2024-12-15,838.12,8322,312,3,0.5271,0.2895,0.36
垂直媒体,2025-01-13,4854.65,58117,2817,47,0.2906,0.1854,0.97
信息流广告,2024-12-08,4428.26,51515,1872,28,0.4119,0.2759,0.63
社交媒体,2025-02-11,3619.29,37242,438,6,0.3118,0.2182,0.17
社交媒体,2025-02-19,652.76,5116,240,4,0.4553,0.3136,0.61
邮件营销,2025-01-18,2548.15,36647,1319,13,0.384,0.2351,0.51
邮件营销,2025-01-14,2029.44,19234,434,5,0.3635,0.2392,0.25
电商平台,2025-02-10,2420.68,23150,659,32,0.4496,0.2248,1.32
社交媒体,2025-01-18,542.68,5400,179,1,0.2945,0.1707,0.18
搜索引擎,2024-12-04,3819.12,34981,846,24,0.3218,0.18,0.63
信息流广告,2024-12-23,4596.53,37200,1795,30,0.3225,0.1779,0.65
应用商店,2024-12-25,4751.29,69461,1158,23,0.2836,0.1549,0.48
电商平台,2024-12-14,711.25,6520,314,14,0.3396,0.2242,1.97
搜索引擎,2025-02-17,4674.89,60030,2271,55,0.2929,0.1943,1.18
搜索引擎,2024-11-29,3168.23,26358,1188,33,0.3665,0.1927,1.04
应用商店,2024-12-12,659.4,7262,1168,3,0.3299,0.1816,0.45
短视频平台,2025-01-20,1490.82,13364,588,7,0.3724,0.222,0.47
垂直媒体,2025-01-01,3479.5,42475,1671,21,0.3633,0.2447,0.6
信息流广告,2025-01-09,3687.63,40581,1509,21,0.4357,0.2835,0.57
邮件营销,2024-12-30,2594.62,23134,1072,5,0.4139,0.253,0.19
搜索引擎,2024-12-22,1791.67,18601,656,18,0.3546,0.2223,1.0
行业论坛,2024-12-18,1775.04,17585,766,8,0.317,0.1699,0.45
垂直媒体,2025-02-06,3595.49,34614,1326,7,0.3095,0.1908,0.19
电商平台,2024-12-06,4421.92,39276,1584,32,0.3877,0.1956,0.72
社交媒体,2025-01-06,1636.29,18582,261,4,0.3452,0.209,0.24
搜索引擎,2025-01-25,870.71,10660,223,10,0.4811,0.2551,1.15
KOL合作,2024-12-08,4358.12,27484,627,9,0.2933,0.1904,0.21
邮件营销,2025-02-02,2158.37,21229,1034,8,0.4617,0.3111,0.37
行业论坛,2025-01-11,2886.59,31832,5882,28,0.3243,0.1921,0.97
搜索引擎,2025-02-17,1402.36,11945,397,11,0.3486,0.2299,0.78
社交媒体,2024-12-16,2590.69,21051,1031,16,0.5119,0.3232,0.62
应用商店,2025-01-16,678.28,5471,107,2,0.3452,0.1825,0.29
电商平台,2025-02-06,2057.07,20827,943,21,0.272,0.1808,1.02
搜索引擎,2025-01-19,3053.93,36579,658,16,0.4123,0.2148,0.52
行业论坛,2025-02-20,3176.49,41141,903,17,0.5024,0.3464,0.54
垂直媒体,2025-02-19,3473.69,49714,2055,25,0.4672,0.2374,0.72
社交媒体,2024-12-06,771.58,6710,301,2,0.3016,0.2097,0.26
信息流广告,2025-01-04,3464.18,55184,2139,18,0.3403,0.238,0.52
电商平台,2024-12-14,2314.68,21238,385,17,0.2088,0.1117,0.73
社交媒体,2025-02-02,2414.72,18227,902,5,0.2036,0.1371,0.21
社交媒体,2024-12-22,3189.76,35723,1774,16,0.4634,0.265,0.5
社交媒体,2025-02-05,3799.01,41041,1902,14,0.2814,0.1541,0.37
信息流广告,2024-12-19,811.1,6660,174,2,0.336,0.207,0.25
信息流广告,2025-02-09,2259.87,16747,685,4,0.4661,0.3234,0.18
搜索引擎,2024-12-21,2489.11,21947,807,19,0.1548,0.0913,0.76
KOL合作,2024-12-31,1251.69,14637,424,7,0.4723,0.3122,0.56
邮件营销,2024-12-27,653.84,4920,84,0,0.4129,0.215,0.0
电商平台,2025-02-06,4939.84,50775,2270,76,0.3953,0.2384,1.54
电商平台,2024-12-04,1065.84,10794,178,4,0.3621,0.234,0.38
搜索引擎,2024-12-02,1648.88,16149,319,14,0.3473,0.2337,0.85
信息流广告,2024-11-29,3602.87,28270,1027,11,0.4168,0.2627,0.31
电商平台,2024-12-24,716.95,7077,317,13,0.3829,0.2349,1.81
邮件营销,2025-02-22,3504.17,39228,1644,18,0.4201,0.2788,0.51
短视频平台,2024-11-29,1977.72,25069,815,8,0.5086,0.3101,0.4
短视频平台,2025-01-22,1522.71,15743,578,8,0.28,0.1659,0.53
邮件营销,2025-01-09,4312.25,29058,844,9,0.3671,0.2239,0.21
行业论坛,2025-01-14,582.05,6703,132,2,0.3781,0.1936,0.34
社交媒体,2025-01-23,1248.49,13637,501,9,0.5847,0.3546,0.72
信息流广告,2025-01-27,3722.68,32734,486,3,0.1913,0.1217,0.08
短视频平台,2024-12-17,1828.75,16214,757,8,0.4028,0.2084,0.44
社交媒体,2025-01-12,3349.18,34311,1467,26,0.4043,0.2206,0.78
电商平台,2025-01-15,4550.1,34181,1408,39,0.2807,0.1865,0.86
电商平台,2025-02-08,3949.95,37565,605,16,0.2372,0.1599,0.41
短视频平台,2025-02-04,606.37,7548,240,2,0.5123,0.2962,0.33
社交媒体,2025-02-24,1735.43,23158,1937,19,0.4423,0.2852,1.09
电商平台,2025-01-15,4574.86,38898,1392,52,0.4368,0.2535,1.14
搜索引擎,2024-12-20,2490.84,27366,350,13,0.4465,0.2475,0.52
电商平台,2025-01-13,1959.5,24406,1214,48,0.229,0.1401,2.45
社交媒体,2025-02-18,3112.14,39282,660,7,0.4194,0.2452,0.22
信息流广告,2025-02-10,3492.1,31192,502,9,0.2093,0.1434,0.26
垂直媒体,2025-02-05,918.18,10675,475,6,0.2814,0.1692,0.65
信息流广告,2025-01-21,1864.08,15710,212,4,0.2169,0.1325,0.21
社交媒体,2025-02-03,4740.74,50871,1661,18,0.4902,0.2942,0.38
短视频平台,2025-01-12,2212.8,24643,546,3,0.41,0.238,0.14
电商平台,2024-12-06,4807.95,54928,1812,62,0.362,0.2037,1.29
信息流广告,2024-12-08,3941.64,39498,1024,7,0.2188,0.1255,0.18
信息流广告,2025-02-01,1546.48,16212,769,13,0.253,0.1406,0.84
信息流广告,2025-01-14,3288.15,26525,330,5,0.3917,0.2319,0.15
应用商店,2025-01-26,3627.66,31826,1199,7,0.3198,0.1925,0.19
垂直媒体,2025-01-05,1281.89,15255,594,10,0.3925,0.228,0.78
社交媒体,2025-01-30,2363.58,26195,1068,5,0.4259,0.2484,0.21
信息流广告,2024-12-09,3119.67,24998,868,8,0.4079,0.272,0.26
信息流广告,2025-01-12,691.85,4997,179,2,0.2738,0.1515,0.29
信息流广告,2025-01-23,1961.04,18932,473,5,0.5212,0.3085,0.25
邮件营销,2024-12-24,4041.07,49643,6422,26,0.2379,0.159,0.64
电商平台,2025-01-23,2238.57,15627,712,23,0.3224,0.2181,1.03
应用商店,2024-12-01,3561.03,33008,424,2,0.3685,0.2547,0.06
社交媒体,2025-02-15,4868.37,38200,1221,21,0.1721,0.0884,0.43
信息流广告,2024-12-07,1829.5,20516,518,4,0.4811,0.2522,0.22
行业论坛,2025-01-16,4819.22,57466,1315,9,0.3447,0.2051,0.19
社交媒体,2025-01-25,3866.33,42825,647,6,0.4573,0.3135,0.16
社交媒体,2024-12-29,2975.41,23122,484,9,0.3131,0.1989,0.3
信息流广告,2025-02-05,1786.58,18952,831,15,0.3766,0.2073,0.84
社交媒体,2025-02-18,3866.86,28664,348,3,0.3734,0.243,0.08
短视频平台,2025-02-13,1241.67,13409,572,4,0.2849,0.1713,0.32
行业论坛,2025-01-14,3911.83,44282,630,4,0.4935,0.256,0.1
